epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,160.218,1.16854,0.65224,1.10465,0.85939,0.83687,0.82029,0.48027,1.72066,0.84909,1.65306,0.000404375,0.000404375,0.000404375
43,163.129,1.15344,0.63562,1.0988,0.91133,0.8363,0.87605,0.508,1.7108,0.87445,1.65399,0.00038375,0.00038375,0.00038375
44,165.922,1.1807,0.64975,1.12523,0.92031,0.82901,0.87429,0.50389,1.75767,0.85357,1.66729,0.000363125,0.000363125,0.000363125
45,168.763,1.13534,0.64286,1.12759,0.90983,0.8208,0.87426,0.48493,1.74154,0.84606,1.64403,0.0003425,0.0003425,0.0003425
46,172.772,1.08343,0.5784,1.07159,0.90797,0.81489,0.87377,0.47969,1.70236,0.88105,1.59257,0.000321875,0.000321875,0.000321875
47,177.628,1.05265,0.5803,1.0379,0.91618,0.8139,0.86768,0.52264,1.63178,0.88329,1.55845,0.00030125,0.00030125,0.00030125
48,180.772,1.03318,0.56575,1.05921,0.95551,0.80973,0.87445,0.54327,1.6454,0.89459,1.57361,0.000280625,0.000280625,0.000280625
49,183.567,1.00006,0.54933,1.04184,0.96206,0.82084,0.87923,0.54306,1.67585,0.89387,1.57921,0.00026,0.00026,0.00026
50,186.591,1.05553,0.59079,1.08766,0.96602,0.82486,0.87789,0.54311,1.70135,0.87985,1.5888,0.000239375,0.000239375,0.000239375
51,200.88,1.07779,0.60267,1.10951,0.96311,0.82509,0.88049,0.52138,1.69354,0.83949,1.56722,0.00021875,0.00021875,0.00021875
52,206.475,0.97243,0.55529,1.09101,0.95904,0.82505,0.88328,0.54349,1.65667,0.82179,1.53799,0.000198125,0.000198125,0.000198125
53,213.675,0.99171,0.5575,1.09471,0.97092,0.8259,0.88329,0.53931,1.66186,0.83001,1.53878,0.0001775,0.0001775,0.0001775
54,217.668,1.0013,0.55273,1.07859,0.97114,0.81655,0.88422,0.5429,1.69402,0.86651,1.56462,0.000156875,0.000156875,0.000156875
55,221.035,0.97111,0.54849,1.06349,0.96406,0.81531,0.88521,0.53693,1.71969,0.89302,1.58298,0.00013625,0.00013625,0.00013625
56,224.062,0.99068,0.55275,1.13607,0.96188,0.82795,0.88544,0.53211,1.70013,0.91311,1.57649,0.000115625,0.000115625,0.000115625
57,228.3,1.00439,0.55417,1.08338,0.96241,0.83333,0.88484,0.5429,1.68048,0.9126,1.57008,9.5e-05,9.5e-05,9.5e-05
58,232.556,0.96429,0.53855,1.03901,0.96183,0.83333,0.88477,0.54796,1.66892,0.92074,1.56304,7.4375e-05,7.4375e-05,7.4375e-05
59,235.458,0.95088,0.52725,1.03628,0.96029,0.83333,0.8828,0.54172,1.67781,0.91621,1.56527,5.375e-05,5.375e-05,5.375e-05
60,238.324,0.92001,0.53106,1.03731,0.96379,0.83333,0.88245,0.54383,1.68637,0.91834,1.56941,3.3125e-05,3.3125e-05,3.3125e-05
